Year,UNIT_MEASURE,Entitet,Value
2000,% od ukupnog broja,BiH,99.8
2000,% od ukupnog broja,FBiH,100.0
2000,% od ukupnog broja,Republika Srpska,98.6
2006,% od ukupnog broja,BiH,99.6
2006,% od ukupnog broja,FBiH,99.5
2006,% od ukupnog broja,Republika Srpska,99.8
2011,% od ukupnog broja,BiH,99.9
2011,% od ukupnog broja,FBiH,99.9
2011,% od ukupnog broja,Republika Srpska,100.0
2011,% od ukupnog broja,Brčko Distrikt BiH,100.0
2012,% od ukupnog broja,BiH,99.9
2012,% od ukupnog broja,FBiH,99.9
2012,% od ukupnog broja,Republika Srpska,100.0
2012,% od ukupnog broja,Brčko Distrikt BiH,100.0
