Year,UNIT_MEASURE,Entitet,Value
2005,Broj,Republika Srpska,47.28
2006,Broj,Republika Srpska,44.67
2007,Broj,FBiH,43.82
2007,Broj,Republika Srpska,53.73
2008,Broj,FBiH,35.76
2008,Broj,Republika Srpska,57.88
2009,Broj,FBiH,47.12
2009,Broj,Republika Srpska,54.71
2010,Broj,FBiH,38.95
2010,Broj,Republika Srpska,55.88
2011,Broj,FBiH,35.14
2011,Broj,Republika Srpska,59.01
2012,Broj,FBiH,41.44
2013,Broj,FBiH,26.08
2014,Broj,FBiH,17.67
2015,Broj,FBiH,45.75
2016,Broj,FBiH,51.07
2016,Broj,Republika Srpska,75.83
2017,Broj,FBiH,49.6
